,item_id,item_category_id,name2,name3,item_price,subtype_code,type_code
0,0,40,4,1331,58.0,4,5
1,1,76,64,42,4490.0,31,9
2,2,40,4,1011,58.0,4,5
3,3,40,4,1010,79.0,4,5
4,4,40,4,1572,58.0,4,5
5,5,40,4,1008,28.0,4,5
6,6,40,4,1008,100.0,4,5
7,7,40,4,1008,28.0,4,5
8,8,40,4,42,58.0,4,5
9,9,40,4,1008,58.0,4,5
10,10,40,4,42,28.0,4,5
11,11,40,4,42,58.0,4,5
12,12,55,4,42,189.0,2,7
13,13,40,4,42,58.0,4,5
14,14,40,4,42,28.0,4,5
15,15,40,4,1367,58.0,4,5
16,16,40,4,1367,58.0,4,5
17,17,40,4,1367,98.0,4,5
18,18,40,4,42,58.0,4,5
19,19,40,4,42,28.0,4,5
20,20,40,4,42,58.0,4,5
21,21,40,4,42,58.0,4,5
22,22,40,4,42,28.0,4,5
23,23,40,4,42,28.0,4,5
24,24,40,4,42,98.0,4,5
25,25,40,4,42,58.0,4,5
26,26,40,4,1536,58.0,4,5
27,27,19,76,42,1461.2285714285708,10,3
28,28,30,107,42,310.01046511627897,55,3
29,29,23,123,42,1759.2857142857142,16,3
30,30,40,4,42,323.67920554580036,4,5
31,31,37,4,562,578.6300045045049,1,5
32,32,40,4,42,249.62924021838055,4,5
33,33,37,4,562,252.83192771084342,1,5
34,34,40,4,1367,144.21311475409837,4,5
35,35,40,4,42,375.82805555555575,4,5
36,36,37,4,562,183.01219512195118,1,5
37,37,40,4,1367,143.69103448275862,4,5
38,38,41,4,952,2335.455,35,5
39,39,41,4,562,5813.2857142857165,35,5
40,40,57,4,803,245.1382978723404,8,7
41,41,57,4,802,237.7906976744186,8,7
42,42,57,4,803,270.6697247706422,8,7
43,43,40,4,42,167.22222222222226,4,5
44,44,57,4,802,265.49514563106794,8,7
45,45,57,4,802,293.68965517241384,8,7
46,46,57,4,803,241.0434782608696,8,7
47,47,57,4,803,244.5636363636364,8,7
48,48,57,4,802,243.0,8,7
49,49,57,4,803,271.55913978494624,8,7
50,50,57,4,807,249.0,8,7
51,51,57,4,803,265.7083333333333,8,7
52,52,57,4,802,250.66153846153847,8,7
53,53,57,4,802,292.69521276595736,8,7
54,54,57,4,802,287.605,8,7
55,55,43,4,807,245.53404255319145,21,6
56,56,57,4,1337,288.84615384615387,8,7
57,57,57,4,1337,287.1338607594937,8,7
58,58,78,64,42,127.0,45,9
59,59,57,4,803,243.39419087136932,8,7
60,60,43,4,807,244.84615384615384,21,6
61,61,43,4,810,319.9166666666667,21,6
62,62,37,4,562,309.63324324324327,1,5
63,63,40,4,42,141.14166666666668,4,5
64,64,40,4,1367,129.04425531914896,4,5
65,65,37,4,562,392.8337777777778,1,5
66,66,37,4,562,396.72372881355926,1,5
67,67,40,4,1367,144.29230769230767,4,5
68,68,30,27,42,28.0,55,3
69,69,54,171,42,249.19871794871798,61,6
70,70,49,4,42,348.5098039215686,39,6
71,71,37,4,562,533.4724137931034,1,5
72,72,40,4,1367,116.00689655172413,4,5
73,73,40,4,1367,52.111111111111114,4,5
